title,overview,vote_average
Hidden Cities,"""The theme of the film HIDDEN CITIES is personal urban perceptions, which we call 'the city'. The city, as a living organism, reflecting social processes and interactions, economic relations, political conditions and private matters. In the city, human memories, desires and tragedies find expression in the form of designations and marks engraved in house walls and paving slabs. But what the city really is under this thick layer of signs, what it contains or conceals, is what we are researching in the HIDDEN CITIES project. The source material for the film are 9 sequential photo works created by Gusztáv Hámos between 1975 and 2010. Each of these 'city perceptions' depicts essential situations of urban experiences containing human and inhuman acts in a compact form. The cities in which the photo sequences have been made are Berlin, Budapest and New York – places with a traumatised past: Wars, dictatorships, terrorist catastrophes.""",0.0
Shells,"A short film about our social behaviors, the complexity of emotion and, ultimately, the nature of being human.  Two couples get together after some time. In the process of catching up, making dinner and eating, each member of the party touches in on their inner emotional states.",10.0
Nancherrow,The basic story involves Loveday's struggle to keep the estate Nancherrow in the family after the death of her father.,6.0
Shallow Grave,"When David, Juliet, and Alex find their new roommate dead with a large sum of money, they agree to hide the body and keep the cash. However, this newfound fortune gradually corrodes their friendship.",7.0
2001 Maniacs,"On their way to Spring Break, college kids take a detour through an old Southern town. The people of Pleasant Valley insist the kids stay for their annual barbecue celebration... but instead of getting a taste of the old South, the old South gets a taste of them!",5.4
STARDOM in Takasaki • 2.15.2025,"STARDOM live in Takasaki on February 15th, 2025, matches featured  • STARS (Hanan & Mayu Iwatani) vs. Akira Kurogane & Suzu Suzuki  • Fukigen Death vs. Aya Sakura vs. Yuria Hime  • Cosmic Angels (Natsupoi & Yuna Mizumori) vs. God's Eye (Ranna Yagami & Tomoka Inaba)  • STARS (Hazuki, Koguma & Momo Kohgo) vs. Empress Nexus Venus (HANAKO, Maika & Rian)  • God's Eye (Hina & Lady C) vs. Neo Genesis (AZM & Miyu Amasaki)  • Neo Genesis (Mei Seira & Starlight Kid) vs. HATE (Azusa Inaba & Rina)  • Cosmic Angels (Sayaka Kurara & Tam Nakano) & God's Eye (Kiyoka Kotatsu & Syuri) vs. HATE (Konami, Natsuko Tora, Ruaka & Saya Kamitani).",0.0
Alemão 2,"The Alemão community in Rio de Janeiro is known for its high crime rate. Once again, a team faces drug trafficking to try to carry out the proposals inside the complex.",5.9
Goodbye,"After a mother's sudden death, chaos and grief collide when four adult siblings return to their traditional father's home for the funeral.",7.6
Strange House,"After treating his wife for a mental disorder, the couple is resting in a country house. Every morning a young woman wakes up to find that the house has moved to another location. The husband is trying to calm his wife, but her ""crazy"" escalates until she understands the true reasons for what is happening.",6.7
Zom 100: Bucket List of the Dead,"Bullied by his boss, worked around the clock, he's nothing more than a corporate drone. All it takes is a zombie outbreak for him to finally feel alive!",6.6
Shooting Ms Rena's Film!,"Inside a bazaar located in the outskirts of Baku, a young film team tries to shoot a film scene with a well-known actress.",0.0
Trust and Brotherhood,"For a long time, a modest village lives in terror because of the raids of a bunch of bandits. Miners and farmers, wanting to avoid the worst, decide to outsource all their savings to Tang's bank. These men are directly attacked by Zatoichi's intervention, a blind man who is an expert swordsman despite his infirmity, and Bruce Wong, a young fighter who returns to the village after three years of exile. At a later time, Tang finds that the bandits know all their moves because they are informed by a traitor. Suspects seem to be Ju Ju, a prostitute and cabaret singer, however, when the girl is killed by the brigands, the real culprit is revealed as Kian Chan, the bank counselor. Bruce and Zatoichi vow to kill him...",3.0
Something Borrowed,"Though Rachel is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy. Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan, Rachel's confidant, harbors a potentially explosive secret of his own.",6.2
The Pastor,A gang leader discovers God while in prison and becomes a pastor when he is released.,0.0
Terror and Virtue: Robespierre,"From April to July 1794, Robespierre forms a triumvirate with Saint-Just and Couthon. He plans to instate his ideal based on virtue and in times of revolutionary crisis, on terror. In May, he establishes the Cult of the Supreme Being. However, he still has numerous enemies...",9.5
Dita Saxová,"​In 1947 Prague, Holocaust survivor Dita lives in a hostel for orphans, acting as a protective mentor to a younger girl while failing to fix her own shattered life. Unable to form lasting bonds or find a place in a society that has moved on, she drifts through emotional isolation.",5.8
NJPW G1 Climax 34: Day 7,"The seventh night of the tournament took place on July 29, 2024 in Fukuoka, Japan at the Fukuoka Convention Center. It was broadcast on NJPW World and TV Asahi.",0.0
The 2nd,"Secret-service agent Vic Davis is on his way to pick up his estranged son, Sean, from his college campus when he finds himself in the middle of a high-stakes terrorist operation. His son's friend Erin Walton, the daughter of Supreme Court Justice Walton is the target, and this armed faction will stop at nothing to kidnap her and use her as leverage for a pending landmark legal case.",5.2
Girgit,Another Shuvro Jyoti Basak Bappa B Positive film.,0.0
Tanya X,"Join Secret Agent Tanya X, aka The Girl from B.I.K.I.N.I., as she embarks on an adventure filled with danger, suspense and sex as she's back...on her back...again!",5.0
Captain Hima,"University graduate works as a school bus driver after failing to find a proper job, where he unexpectedly falls in love with a school teacher, who is the love interest of an evil businessman. Of course you don’t already know that she will be loving the ""King of Generation"", after all, who wouldn’t?",5.786
Breath,"Nell tries hard to cope with her husband, family and friends - but her asthma creates problems. Everyone seems to be helpful - but are they? Is there something sinister about Mrs Pritchett , the new housekeeper, or is it Nell's imagination? Who knows where reality ends and fantasy begins?",0.0
Code 8 Part II,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",6.344
